,feature,size,weight,gain,cv
7,GeneID.3872,30,0.10947712418300654,4.78010730925373,1
8,GeneID.8200,30,0.0016339869281045752,6.13734722,1
9,GeneID.306,30,0.042483660130718956,3.475410066923077,1
10,GeneID.29089,30,0.013071895424836602,3.7413353024999996,1
11,GeneID.8190,30,0.0016339869281045752,3.23142242,1
12,GeneID.84299,30,0.0032679738562091504,3.019450065,1
13,GeneID.57650,30,0.014705882352941176,3.7078682577777777,1
14,GeneID.2296,30,0.027777777777777776,3.1188871276470587,1
15,GeneID.3852,30,0.011437908496732025,4.137550967142857,1
16,GeneID.3861,30,0.0032679738562091504,2.414598705,1
17,GeneID.80129,30,0.00980392156862745,3.638097723333333,1
18,GeneID.7783,30,0.04411764705882353,4.204396892222222,1
19,GeneID.23498,30,0.021241830065359478,3.808519143846154,1
20,GeneID.12,30,0.11601307189542484,3.6207147408450697,1
21,GeneID.10948,30,0.006535947712418301,2.8078418375,1
22,GeneID.81706,30,0.05065359477124183,2.762693866129031,1
23,GeneID.1058,30,,,1
24,GeneID.1308,30,0.008169934640522876,2.672639752,1
25,GeneID.6422,30,0.017973856209150325,2.620745876363636,1
26,GeneID.7272,30,0.0016339869281045752,3.23783541,1
27,GeneID.3400,30,0.0196078431372549,2.7537539800000004,1
28,GeneID.342667,30,0.021241830065359478,1.6191651076923075,1
29,GeneID.3169,30,0.0032679738562091504,2.32750714,1
0,GeneID.1672,20,0.11336717428087986,11.83783845671642,1
1,GeneID.83903,20,0.10152284263959391,8.924221484666665,1
2,GeneID.4137,20,0.02707275803722504,8.552557052500001,1
3,GeneID.55165,20,0.001692047377326565,6.7651515,1
4,GeneID.2064,20,0.01353637901861252,5.39948809,1
5,GeneID.8200,20,0.008460236886632826,4.13699994,1
6,GeneID.27190,20,0.077834179357022,5.064937404782608,1
7,GeneID.8424,20,0.12351945854483926,5.557941097534248,1
8,GeneID.3872,20,0.12521150592216582,4.715489176351351,1
